Date,Variety,Noofpots,Yield,TempInside,HumidInside,CO2Inside,TempOutside,HumidOutside,CO2Outside
2024.01.01,AO,6364,23160.00,24.1,99,661,24.6,91,553
2024.01.02,AO,6364,10625.00,25.4,84,608,26.2,83,584
2024.01.04,AO,6364,13625.00,24.6,89,675,24.6,90,562
2024.01.05,AO,6364,13265.00,24.6,87,705,24.5,90,600
2024.01.06,AO,6364,13625.00,24.4,87,726,24.3,87,541
2024.01.08,AO,6364,25685.00,23.7,89,536,24.2,91,649
2024.01.10,AO,6364,68830.00,24.6,92,650,24.5,92,556
2024.01.11,AO,6364,65860.00,23.9,92,774,23.3,97,600
2024.01.16,AO,6364,30535.00,21.8,91,587,22.8,92,565
2024.01.17,AO,6364,88455.00,21.2,84,596,23.1,91,550
2024.01.18,AO,6364,46405.00,22.3,85,657,22.2,87,801
2024.01.19,AO,6364,41520.00,24.3,86,683,26.3,88,3235
2024.01.20,AO,6364,43305.00,24.2,92,664,24,92,576
2024.01.22,AO,6364,59645.00,25.5,93,666,25.8,97,754
2024.01.23,AO,6364,73010.00,25.7,86,675,25,94,561
2024.01.26,AO,6364,37515.00,24.6,85,701,23.8,89,685
2024.01.27,AO,6364,60065.00,26,80,884,24.1,87,858
2024.01.29,AO,6364,47645.00,25.9,87,732,25.6,87,591
2024.01.30,AO,6364,32170.00,27,65,600,23.2,91,561
2024.02.01,AO,6364,55940.00,25,85,677,23.4,97,776
2024.02.03,AO,6364,48130.00,29.3,83,887,27.5,90,629
2024.02.05,AO,6364,23140.00,25.7,84,917,24.3,92,544
2024.02.06,AO,6364,13805.00,27.5,88,791,25.5,93,516
2024.02.12,AO,6364,21820.00,27.2,77,722,25,93,515
2024.02.13,AO,6364,21355.00,23.4,81,650,22.1,88,801
2024.02.14,AO,6364,25180.00,24.2,81,750,22.9,90,538
2024.02.15,AO,6364,27480.00,26,88,743,25.4,91,554
2024.02.16,AO,6364,18965.00,27.5,87,898,24.4,98,533
2024.02.17,AO,6364,15065.00,26.2,85,712,24.9,91,575
2024.02.18,AO,6364,19230.00,25.5,93,666,25.8,97,754
2024.02.19,AO,6364,24805.00,27.5,88,791,25.8,88,603
2024.02.20,AO,6364,18565.00,27.7,82,898,25,90,628
2024.02.22,AO,6364,13645.00,21.8,91,587,22.8,92,565
2024.02.23,AO,6364,13955.00,21.2,84,596,23.1,91,550
2024.02.24,AO,6364,11950.00,22.3,85,657,22.2,87,801
2024.02.25,AO,6364,28565.00,24.3,86,683,26.3,88,659
2024.02.26,AO,6364,16265.00,24.2,92,664,26.1,93,643
2024.02.27,AO,6364,16640.00,23.7,82,669,26.1,93,643
2024.02.28,AO,6364,10025.00,26.3,86,647,25.2,91,524
2024.02.29,AO,6364,8735.00,26.5,87,707,25.1,91,573
2024.03.01,AO,6364,16845.00,28,82,676,25.6,91,557
2024.03.02,AO,6364,17670.00,26.6,89,690,25.1,93,551
2024.03.03,AO,6364,17760.00,24.6,87,705,24.5,90,600
2024.03.04,AO,6364,12525.00,28.3,92,664,27.5,89,509
2024.03.05,AO,6364,11055.00,24.2,92,664,24,92,576
2024.03.07,AO,6364,2920.00,31.2,76,664,26.3,90,567
2024.03.08,AO,6364,12555.00,27.5,88,719,26.1,92,518
2024.03.09,AO,6364,25560.00,27.4,84,621,26.3,88,613
2024.03.10,AO,6364,14355.00,25.5,93,666,25.8,97,754
2024.03.11,AO,6364,8515.00,27.5,86,639,24.5,93,501
2024.03.12,AO,6364,9150.00,26.5,87,660,25.3,90,547
2024.01.10,PO,919,1215.00,24.6,92,650,24.5,92,556
2024.01.16,PO,919,7630.00,21.8,91,587,22.8,92,565
2024.01.17,PO,919,22155.00,21.2,84,596,23.1,91,550
2024.01.18,PO,919,10830.00,22.3,85,657,22.2,87,801
2024.01.19,PO,919,4695.00,24.3,86,683,26.3,88,3235
2024.01.20,PO,919,2420.00,24.2,92,664,24,92,576
2024.01.22,PO,919,335.00,25.5,93,666,25.8,97,754
2024.01.23,PO,919,210.00,25.7,86,675,25,94,561
2024.01.26,PO,919,1320.00,24.6,85,701,23.8,89,685
2024.01.27,PO,919,2420.00,26,80,884,24.1,87,858
2024.01.29,PO,919,11925.00,25.9,87,732,25.6,87,591
2024.01.30,PO,919,7130.00,27,65,600,23.2,91,561
2024.01.01,AB,8000,915.00,25.2,91,610,24.6,91,553
2024.01.02,AB,8000,1015.00,25.6,85,468,26.2,83,584
2024.01.04,AB,8000,715.00,25.5,92,871,24.6,90,561
2024.01.05,AB,8000,715.00,24.5,95,600,24.5,90,600
2024.01.08,AB,8000,1115.00,24.9,94,564,24.2,91,649
2024.01.10,AB,8000,415.00,25.7,95,70,24.5,92,556
2024.01.11,AB,8000,615.00,25,97,735,23.3,97,600
2024.01.16,AB,8000,825.00,23.8,93,770,22.8,92,565
2024.01.17,AB,8000,820.00,23.6,95,669,23.1,91,550
2024.01.18,AB,8000,1415.00,23,94,638,22.2,87,801
2024.01.19,AB,8000,945.00,24.7,94,625,26.3,88,3225
2024.01.20,AB,8000,920.00,25.5,95,691,24,92,576
2024.01.22,AB,8000,1695.00,26.2,99,766,29.7,67,458
2024.01.26,AB,8000,1720.00,24.2,95,724,23.8,89,685
2024.01.30,AB,8000,895.00,24.8,98,612,23.2,91,561
2024.02.01,AB,8000,920.00,25.8,94,640,23.4,97,776
2024.02.03,AB,8000,1420.00,27.3,90,647,27.5,90,629
2024.02.05,AB,8000,610.00,25.7,98,603,24.3,92,544
2024.02.12,AB,8000,865.00,24.7,94,647,25,93,515
2024.02.13,AB,8000,740.00,23,94,638,22.1,88,801
2024.02.14,AB,8000,1440.00,25.3,97,610,22.9,90,538
2024.02.15,AB,8000,915.00,26.1,96,596,25.4,91,554
2024.02.16,AB,8000,600.00,27,95,628,24.4,98,533
2024.02.17,AB,8000,410.00,25.3,98,623,24.9,91,575
2024.02.18,AB,8000,1030.00,26.2,99,766,25.8,97,754
2024.02.19,AB,8000,815.00,26.3,95,644,25.8,88,603
2024.02.20,AB,8000,630.00,26.6,94,613,25,90,628
2024.02.22,AB,8000,995.00,23.8,93,770,22.8,92,565
2024.02.23,AB,8000,815.00,23.6,95,669,23.1,91,550
2024.02.24,AB,8000,325.00,23,94,638,22.2,87,801
2024.02.25,AB,8000,525.00,24.7,94,625,26.3,88,659
2024.02.26,AB,8000,545.00,25.5,95,691,24,92,576
2024.02.27,AB,8000,895.00,26.5,97,671,26.1,93,643
2024.02.28,AB,8000,265.00,24.7,94,625,25.2,91,524
2024.02.29,AB,8000,315.00,25.6,99,636,25.1,91,573
2024.03.01,AB,8000,490.00,26.6,98,624,25.6,91,557
2024.03.02,AB,8000,825.00,26.3,98,610,25.1,93,551
2024.03.03,AB,8000,510.00,24.5,95,600,24.5,90,600
2024.03.04,AB,8000,450.00,28.3,92,664,27.5,89,509
2024.03.05,AB,8000,445.00,25.5,95,691,24,92,576
2024.03.08,AB,8000,555.00,27.5,95,603,26.1,92,518
2024.03.12,AB,8000,175.00,26.6,98,624,25.3,90,547
2024.03.15,AB,8000,290.00,25.3,98,559,25.2,93,526
2024.01.01,BH,4850,715.00,26.4,98,1181,24.6,91,553
2024.01.02,BH,4850,6120.00,25.8,86,473,26.2,83,584
2024.01.04,BH,4850,5190.00,25.6,97,949,24.6,90,562
2024.01.05,BH,4850,6310.00,24.3,95,744,24.5,90,600
2024.01.06,BH,4850,10635.00,25.2,92,793,24.3,87,541
2024.01.08,BH,4850,4995.00,26,99,1113,24.2,91,649
2024.01.10,BH,4850,6515.00,27.2,98,1692,24.5,92,556
2024.01.11,BH,4850,17145.00,24.5,95,777,23.3,97,600
2024.01.16,BH,4850,5770.00,22.4,88,638,22.8,92,565
2024.01.17,BH,4850,11505.00,21.7,94,668,23.1,91,550
2024.01.18,BH,4850,14830.00,23,88,836,22.2,87,801
2024.01.19,BH,4850,29770.00,25.6,92,1279,26.3,88,3235
2024.01.20,BH,4850,13845.00,26.7,97,1445,24,92,576
2024.01.22,BH,4850,31370.00,27,94,1197,25.8,97,754
2024.01.23,BH,4850,10430.00,27,94,879,25,94,361
2024.01.26,BH,4850,3010.00,24.6,94,1150,23.8,89,685
2024.01.27,BH,4850,3510.00,25.1,98,1468,24.1,87,858
2024.01.29,BH,4850,57425.00,26.7,98,1399,25.6,87,591
2024.01.30,BH,4850,11630.00,25.1,94,863,23.2,91,561
2024.02.01,BH,4850,5815.00,25.3,91,745,23.4,97,776
2024.02.03,BH,4850,9710.00,27.7,96,1252,27.5,90,629
2024.02.05,BH,4850,8630.00,26.5,98,996,24.3,992,544
2024.02.06,BH,4850,6630.00,26.6,97,1066,25.5,93,516
2024.02.12,BH,4850,24755.00,24.8,95,981,25,93,515
2024.02.13,BH,4850,31720.00,23,88,836,22.1,88,801
2024.02.14,BH,4850,34710.00,23.3,99,684,22.9,90,538
2024.02.15,BH,4850,12720.00,25.7,92,601,25.4,91,554
2024.02.16,BH,4850,5710.00,25.4,96,628,24.4,98,533
2024.02.17,BH,4850,5795.00,26.6,87,690,24.9,91,575
2024.02.18,BH,4850,18825.00,27,94,1197,25.8,97,754
2024.02.19,BH,4850,6530.00,25.8,97,1047,25.8,88,603
2024.02.20,BH,4850,4495.00,26.6,98,1183,25,90,628
2024.02.22,BH,4850,9210.00,22.4,88,638,22.8,92,565
2024.02.23,BH,4850,11305.00,21.7,94,668,23.1,91,550
2024.02.24,BH,4850,9010.00,23,88,836,22.2,87,801
2024.02.25,BH,4850,11155.00,25.6,92,1279,26.3,88,659
2024.02.26,BH,4850,6015.00,26.7,97,1445,24,92,576
2024.02.27,BH,4850,5110.00,25.9,95,838,26.1,936,643
2024.02.28,BH,4850,4820.00,25.7,94,826,25.2,91,524
2024.02.29,BH,4850,5315.00,26.3,91,684,25.1,91,573
2024.03.01,BH,4850,8310.00,26.3,92,668,25.6,91,557
2024.03.02,BH,4850,5520.00,26.3,92,681,25.1,93,551
2024.03.03,BH,4850,15545.00,24.3,95,744,24.5,90,600
2024.03.04,BH,4850,4715.00,27.2,92,681,27.5,89,509
2024.03.05,BH,4850,6010.00,26.7,97,1445,24,92,576
2024.03.08,BH,4850,8430.00,28,96,868,26.1,92,518
2024.03.09,BH,4850,14420.00,26.8,98,1212,26.3,88,613
2024.03.10,BH,4850,6830.00,27,94,1197,25.8,97,754
2024.03.11,BH,4850,4215.00,25.3,94,652,24.5,93,501
2024.03.12,BH,4850,3310.00,26.1,97,1081,25.3,90,547
2024.03.15,BH,4850,4421.00,27.4,98,1083,25.2,93,526
2024.01.01,SH,3000,1030.00,15.6,81,1825,24.6,91,553
2024.01.02,SH,3000,780.00,18.1,77,2100,26.2,83,584
2024.01.04,SH,3000,615.00,18.1,81,1998,24.6,90,562
2024.01.05,SH,3000,430.00,24.6,87,705,24.6,90,600
2024.01.06,SH,3000,565.00,19.1,82,2275,24.3,87,541
2024.01.10,SH,3000,420.00,18.2,80,1951,24.6,92,650
2024.01.11,SH,3000,1140.00,17.7,74,1888,23.3,97,600
2024.01.16,SH,3000,800.00,16.4,79,1948,22.8,92,565
2024.01.17,SH,3000,735.00,17.7,89,2587,23.1,91,550
2024.01.18,SH,3000,505.00,18,80,2030,22.2,87,801
2024.01.19,SH,3000,300.00,18.9,78,1928,26.3,88,3235
2024.01.20,SH,3000,500.00,23.9,93,7313,24,92,576
2024.01.22,SH,3000,655.00,19.4,75,2043,25.8,97,754
2024.01.23,SH,3000,420.00,19.7,69,2072,25,94,361
2024.01.26,SH,3000,360.00,17.5,75,2058,23.8,89,685
2024.01.27,SH,3000,165.00,18.7,80,2446,24.1,87,858
2024.01.29,SH,3000,385.00,18.8,80,2045,25.6,87,591
2024.01.30,SH,3000,575.00,18,84,1975,23.2,91,561
2024.02.01,SH,3000,955.00,17.4,70,2132,23.2,91,561
2024.02.03,SH,3000,595.00,19.3,75,1789,27.5,90,629
2024.02.05,SH,3000,580.00,19.2,75,2065,24.3,92,544
2024.02.06,SH,3000,665.00,19.6,77,2452,25.5,93,516
2024.02.12,SH,3000,705.00,19.7,81,3173,25,93,515
2024.02.13,SH,3000,2275.00,18,80,2030,22.1,88,801
2024.02.14,SH,3000,2595.00,19.1,82,2313,22.9,90,538
2024.02.15,SH,3000,2495.00,22.2,77,2325,25.4,91,554
2024.02.16,SH,3000,1865.00,22.3,81,2217,24.4,98,533
2024.02.17,SH,3000,1700.00,20.9,75,2123,24.9,91,575
2024.02.18,SH,3000,1460.00,25.9,99,809,25.8,97,754
2024.02.19,SH,3000,2450.00,18.3,75,2107,25.8,88,603
2024.02.20,SH,3000,1630.00,22.9,79,2334,25,90,628
2024.02.22,SH,3000,3080.00,16.4,79,1948,22.8,92,565
2024.02.23,SH,3000,305.00,17.7,89,2587,23.1,91,550
2024.02.24,SH,3000,1610.00,18,80,2030,22.2,87,801
2024.02.25,SH,3000,2850.00,18.9,78,1928,26.3,88,659
2024.02.26,SH,3000,2330.00,23.9,93,7313,24,92,576
2024.02.27,SH,3000,2795.00,19.4,70,1672,26.1,93,643
2024.02.28,SH,3000,3170.00,20.1,78,2046,25.2,91,524
2024.02.29,SH,3000,4380.00,18.7,77,1691,25.1,91,573
2024.03.01,SH,3000,3860.00,20.3,76,2378,25.6,91,557
2024.03.02,SH,3000,3360.00,20.3,80,2440,25.1,93,551
2024.03.03,SH,3000,3655.00,24.6,87,705,24.6,90,600
2024.03.04,SH,3000,2850.00,19.3,67,2175,27.5,89,509
2024.03.05,SH,3000,3815.00,23.9,93,7313,24,92,576
2024.03.08,SH,3000,4015.00,19.3,67,2175,26.1,92,518
2024.03.09,SH,3000,3715.00,19.8,80,2027,26.3,88,613
2024.03.10,SH,3000,3925.00,25.9,99,809,25.8,97,754
2024.03.11,SH,3000,3315.00,20.8,75,2162,24.5,93,501
2024.03.12,SH,3000,4515.00,21.8,87,4189,25.3,90,547
2024.03.15,SH,3000,3600.00,19.2,76,1467,25.2,93,526
2024.03.12,AO,6364,9150.00,26.5,87,660,25.3,90,547
2024.01.10,PO,919,1215.00,24.6,92,650,24.5,92,556
2024.01.16,PO,919,7630.00,21.8,91,587,22.8,92,565
2024.01.17,PO,919,22155.00,21.2,84,596,23.1,91,550
2024.01.18,PO,919,10830.00,22.3,85,657,22.2,87,801
2024.01.19,PO,919,4695.00,24.3,86,683,26.3,88,3235
2024.01.20,PO,919,2420.00,24.2,92,664,24,92,576
2024.01.22,PO,919,335.00,25.5,93,666,25.8,97,754
2024.01.23,PO,919,210.00,25.7,86,675,25,94,561
2024.01.26,PO,919,1320.00,24.6,85,701,23.8,89,685
2024.01.27,PO,919,2420.00,26,80,884,24.1,87,858
2024.01.29,PO,919,11925.00,25.9,87,732,25.6,87,591
2024.01.30,PO,919,7130.00,27,65,600,23.2,91,561
2024.01.01,AB,8000,915.00,25.2,91,610,24.6,91,553
2024.01.02,AB,8000,1015.00,25.6,85,468,26.2,83,584
2024.01.04,AB,8000,715.00,25.5,92,871,24.6,90,561
2024.01.05,AB,8000,715.00,24.5,95,600,24.5,90,600
2024.01.08,AB,8000,1115.00,24.9,94,564,24.2,91,649
2024.01.10,AB,8000,415.00,25.7,95,70,24.5,92,556
2024.01.11,AB,8000,615.00,25,97,735,23.3,97,600
2024.01.16,AB,8000,825.00,23.8,93,770,22.8,92,565
2024.01.17,AB,8000,820.00,23.6,95,669,23.1,91,550
2024.01.18,AB,8000,1415.00,23,94,638,22.2,87,801
2024.01.19,AB,8000,945.00,24.7,94,625,26.3,88,3225
2024.01.20,AB,8000,920.00,25.5,95,691,24,92,576
2024.01.22,AB,8000,1695.00,26.2,99,766,29.7,67,458
2024.01.26,AB,8000,1720.00,24.2,95,724,23.8,89,685
2024.01.30,AB,8000,895.00,24.8,98,612,23.2,91,561
2024.02.01,AB,8000,920.00,25.8,94,640,23.4,97,776
2024.02.03,AB,8000,1420.00,27.3,90,647,27.5,90,629
2024.02.05,AB,8000,610.00,25.7,98,603,24.3,92,544
2024.02.12,AB,8000,865.00,24.7,94,647,25,93,515
2024.02.13,AB,8000,740.00,23,94,638,22.1,88,801
2024.02.14,AB,8000,1440.00,25.3,97,610,22.9,90,538
2024.02.15,AB,8000,915.00,26.1,96,596,25.4,91,554
2024.02.16,AB,8000,600.00,27,95,628,24.4,98,533
2024.02.17,AB,8000,410.00,25.3,98,623,24.9,91,575
2024.02.18,AB,8000,1030.00,26.2,99,766,25.8,97,754
2024.02.19,AB,8000,815.00,26.3,95,644,25.8,88,603
2024.02.20,AB,8000,630.00,26.6,94,613,25,90,628
2024.02.22,AB,8000,995.00,23.8,93,770,22.8,92,565
2024.02.23,AB,8000,815.00,23.6,95,669,23.1,91,550
2024.02.24,AB,8000,325.00,23,94,638,22.2,87,801
2024.02.25,AB,8000,525.00,24.7,94,625,26.3,88,659
2024.02.26,AB,8000,545.00,25.5,95,691,24,92,576
2024.02.27,AB,8000,895.00,26.5,97,671,26.1,93,643
2024.02.28,AB,8000,265.00,24.7,94,625,25.2,91,524
2024.02.29,AB,8000,315.00,25.6,99,636,25.1,91,573
2024.03.01,AB,8000,490.00,26.6,98,624,25.6,91,557
2024.03.02,AB,8000,825.00,26.3,98,610,25.1,93,551
2024.03.03,AB,8000,510.00,24.5,95,600,24.5,90,600
2024.03.04,AB,8000,450.00,28.3,92,664,27.5,89,509
2024.03.05,AB,8000,445.00,25.5,95,691,24,92,576
2024.03.08,AB,8000,555.00,27.5,95,603,26.1,92,518
2024.03.12,AB,8000,175.00,26.6,98,624,25.3,90,547
2024.03.15,AB,8000,290.00,25.3,98,559,25.2,93,526
2024.01.01,BH,4850,715.00,26.4,98,1181,24.6,91,553
2024.01.02,BH,4850,6120.00,25.8,86,473,26.2,83,584
2024.01.04,BH,4850,5190.00,25.6,97,949,24.6,90,562
2024.01.05,BH,4850,6310.00,24.3,95,744,24.5,90,600
2024.01.06,BH,4850,10635.00,25.2,92,793,24.3,87,541
2024.01.08,BH,4850,4995.00,26,99,1113,24.2,91,649
2024.01.10,BH,4850,6515.00,27.2,98,1692,24.5,92,556
2024.01.11,BH,4850,17145.00,24.5,95,777,23.3,97,600
2024.01.16,BH,4850,5770.00,22.4,88,638,22.8,92,565
2024.01.17,BH,4850,11505.00,21.7,94,668,23.1,91,550
2024.01.18,BH,4850,14830.00,23,88,836,22.2,87,801
2024.01.19,BH,4850,29770.00,25.6,92,1279,26.3,88,3235
2024.01.20,BH,4850,13845.00,26.7,97,1445,24,92,576
2024.01.22,BH,4850,31370.00,27,94,1197,25.8,97,754
2024.01.23,BH,4850,10430.00,27,94,879,25,94,361
2024.01.26,BH,4850,3010.00,24.6,94,1150,23.8,89,685
2024.01.27,BH,4850,3510.00,25.1,98,1468,24.1,87,858
2024.01.29,BH,4850,57425.00,26.7,98,1399,25.6,87,591
2024.01.30,BH,4850,11630.00,25.1,94,863,23.2,91,561
2024.02.01,BH,4850,5815.00,25.3,91,745,23.4,97,776
2024.02.03,BH,4850,9710.00,27.7,96,1252,27.5,90,629
2024.02.05,BH,4850,8630.00,26.5,98,996,24.3,992,544
2024.02.06,BH,4850,6630.00,26.6,97,1066,25.5,93,516
2024.02.12,BH,4850,24755.00,24.8,95,981,25,93,515
